#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
IGF1	ESR1	1848439	1842435	9606.ENSP00000302665	9606.ENSP00000206249	0	0	0	0	0.053	0	0.900	0.869	0.986
CFD	C3	1851434	1843781	9606.ENSP00000332139	9606.ENSP00000245907	0	0	0	0	0.053	0.800	0.900	0.387	0.986
PIK3CB	KDR	1847156	1845437	9606.ENSP00000289153	9606.ENSP00000263923	0	0	0	0	0.055	0.110	0.900	0.845	0.985
C1S	SERPING1	1851002	1846563	9606.ENSP00000328173	9606.ENSP00000278407	0.074	0	0	0	0.396	0.446	0.800	0.788	0.984
F10	TFPI	1856330	1843343	9606.ENSP00000364709	9606.ENSP00000233156	0	0	0	0	0.054	0.455	0.900	0.707	0.982
IL15RA	IL2RG	1857123	1856061	9606.ENSP00000369312	9606.ENSP00000363318	0	0	0	0	0	0.666	0.900	0.526	0.982
C1R	SERPING1	1847243	1846563	9606.ENSP00000290575	9606.ENSP00000278407	0.074	0	0	0	0.569	0.446	0.800	0.641	0.981
CDH1	HGF	1844988	1842916	9606.ENSP00000261769	9606.ENSP00000222390	0	0	0	0	0.045	0	0.900	0.814	0.980
NCF4	RAC2	1858463	1843949	9606.ENSP00000380334	9606.ENSP00000249071	0	0	0	0	0.182	0.293	0.900	0.696	0.980
HCK	PIK3CB	1856392	1847156	9606.ENSP00000365012	9606.ENSP00000289153	0	0	0	0	0.055	0.635	0.900	0.445	0.978
CXCL12	CCL5	1858332	1847396	9606.ENSP00000379140	9606.ENSP00000293272	0	0	0	0	0	0	0.900	0.795	0.978
VWF	SERPINE1	1844904	1842959	9606.ENSP00000261405	9606.ENSP00000223095	0	0	0	0	0	0	0.900	0.788	0.977
VSIG4	C3	1856173	1843781	9606.ENSP00000363869	9606.ENSP00000245907	0	0	0	0	0.054	0.876	0	0.814	0.976
SERPINE1	HGF	1842959	1842916	9606.ENSP00000223095	9606.ENSP00000222390	0.074	0	0	0	0.044	0.170	0.900	0.726	0.976
PIK3R1	PDGFRA	1846375	1844502	9606.ENSP00000274335	9606.ENSP00000257290	0	0	0	0	0	0.676	0.900	0.319	0.976
C1QA	C1R	1856156	1847243	9606.ENSP00000363773	9606.ENSP00000290575	0	0	0	0	0.147	0.360	0.900	0.621	0.976
IGF1	MMP2	1848439	1842719	9606.ENSP00000302665	9606.ENSP00000219070	0	0	0	0	0.053	0	0.900	0.773	0.976
VCAM1	ICAM1	1847502	1845628	9606.ENSP00000294728	9606.ENSP00000264832	0	0	0	0	0.054	0	0	0.974	0.975
IL2RG	IL7	1856061	1845425	9606.ENSP00000363318	9606.ENSP00000263851	0	0	0	0	0	0.360	0.900	0.641	0.975
CLDN5	OCLN	1858954	1853164	9606.ENSP00000384554	9606.ENSP00000347379	0	0	0	0	0	0	0.800	0.876	0.974
IGF1	MAPK3	1848439	1845265	9606.ENSP00000302665	9606.ENSP00000263025	0	0	0	0	0	0	0.900	0.742	0.973
FGFR1	PIK3R1	1859710	1846375	9606.ENSP00000393312	9606.ENSP00000274335	0	0	0	0	0.049	0.702	0.900	0.184	0.973
CCL20	CCL5	1853751	1847396	9606.ENSP00000351671	9606.ENSP00000293272	0	0	0	0	0.121	0	0.900	0.702	0.971
MAPK3	EGR1	1845265	1843543	9606.ENSP00000263025	9606.ENSP00000239938	0	0	0	0	0.054	0.170	0.900	0.678	0.971
CXCL12	CCL19	1858332	1849114	9606.ENSP00000379140	9606.ENSP00000308815	0	0	0	0	0.107	0	0.900	0.704	0.971
CXCL12	CCL21	1858332	1844708	9606.ENSP00000379140	9606.ENSP00000259607	0	0	0	0	0	0	0.900	0.713	0.970
CXCR4	SDC4	1859216	1855743	9606.ENSP00000386884	9606.ENSP00000361818	0	0	0	0	0	0.360	0.900	0.573	0.970
C1QC	C1R	1856155	1847243	9606.ENSP00000363768	9606.ENSP00000290575	0	0	0	0	0.124	0	0.900	0.691	0.970
IGF1	HGF	1848439	1842916	9606.ENSP00000302665	9606.ENSP00000222390	0	0	0	0	0.062	0	0.900	0.714	0.970
GNG2	GNAI2	1851723	1849590	9606.ENSP00000334448	9606.ENSP00000312999	0	0	0	0	0.050	0.676	0.900	0.164	0.970
ETS1	MAPK3	1858032	1845265	9606.ENSP00000376436	9606.ENSP00000263025	0	0	0	0	0	0.462	0.900	0.469	0.969
FN1	HGF	1853098	1842916	9606.ENSP00000346839	9606.ENSP00000222390	0	0	0	0	0.054	0.521	0.900	0.402	0.969
IGF1	CDH1	1848439	1844988	9606.ENSP00000302665	9606.ENSP00000261769	0	0	0	0	0	0	0.900	0.707	0.969
CXCR4	CCL2	1859216	1843055	9606.ENSP00000386884	9606.ENSP00000225831	0	0	0	0	0.050	0.145	0.800	0.821	0.967
C1QC	C1S	1856155	1851002	9606.ENSP00000363768	9606.ENSP00000328173	0	0	0	0	0.057	0	0.900	0.684	0.967
C1QB	C1R	1849670	1847243	9606.ENSP00000313967	9606.ENSP00000290575	0	0	0	0	0.143	0.360	0.900	0.482	0.967
SELE	ICAM1	1851385	1845628	9606.ENSP00000331736	9606.ENSP00000264832	0	0	0	0	0	0	0	0.967	0.967
C1S	C1R	1851002	1847243	9606.ENSP00000328173	9606.ENSP00000290575	0	0	0	0.872	0.457	0.360	0.900	0.960	0.966
ETS1	KDR	1858032	1845437	9606.ENSP00000376436	9606.ENSP00000263923	0	0	0	0	0.066	0	0.900	0.658	0.965
CXCR4	CCL21	1859216	1844708	9606.ENSP00000386884	9606.ENSP00000259607	0	0	0	0	0	0.064	0.900	0.660	0.965
CCL20	CCL19	1853751	1849114	9606.ENSP00000351671	9606.ENSP00000308815	0	0	0	0	0.055	0	0.900	0.658	0.964
PTPRC	CD4	1854576	1842167	9606.ENSP00000356346	9606.ENSP00000011653	0	0	0	0	0.071	0.360	0.900	0.467	0.964
MAPK3	HGF	1845265	1842916	9606.ENSP00000263025	9606.ENSP00000222390	0	0	0	0	0.054	0.066	0.900	0.632	0.963
PGF	KDR	1862737	1845437	9606.ENSP00000451040	9606.ENSP00000263923	0	0	0	0	0	0.064	0.800	0.822	0.963
PRKCD	MAPK3	1851365	1845265	9606.ENSP00000331602	9606.ENSP00000263025	0	0	0	0.635	0.055	0.541	0.900	0.625	0.963
PIK3R1	ESR1	1846375	1842435	9606.ENSP00000274335	9606.ENSP00000206249	0	0	0	0	0	0.395	0.900	0.446	0.963
CXCR4	CCL19	1859216	1849114	9606.ENSP00000386884	9606.ENSP00000308815	0	0	0	0	0	0	0.900	0.650	0.963
ETS1	ANGPT2	1858032	1849738	9606.ENSP00000376436	9606.ENSP00000314897	0	0	0	0	0	0	0.900	0.639	0.962
HLA-E	HLA-C	1856531	1856460	9606.ENSP00000365817	9606.ENSP00000365402	0	0	0	0.977	0.055	0.625	0.900	0.822	0.962
CCL5	CCL21	1847396	1844708	9606.ENSP00000293272	9606.ENSP00000259607	0	0	0	0	0	0	0.900	0.629	0.961
MAPK3	CDH1	1845265	1844988	9606.ENSP00000263025	9606.ENSP00000261769	0	0	0	0	0	0	0.900	0.628	0.961
JAM2	JAM3	1861482	1859892	9606.ENSP00000420419	9606.ENSP00000395742	0	0	0	0.796	0.078	0.528	0.900	0.806	0.960
FOXO1	ANGPT2	1857055	1849738	9606.ENSP00000368880	9606.ENSP00000314897	0	0	0	0	0	0	0.900	0.610	0.959
CCL4L1	CCL4	1860534	1843996	9606.ENSP00000405533	9606.ENSP00000250151	0	0	0	0.986	0	0.800	0.800	0.627	0.958
MAPK3	ESR1	1845265	1842435	9606.ENSP00000263025	9606.ENSP00000206249	0	0	0	0	0	0.399	0.800	0.677	0.957
CXCL12	SDC4	1858332	1855743	9606.ENSP00000379140	9606.ENSP00000361818	0	0	0	0	0.053	0	0.900	0.587	0.957
COL6A1	COL1A1	1854318	1843064	9606.ENSP00000355180	9606.ENSP00000225964	0	0	0	0.617	0.504	0	0.900	0.490	0.957
HCK	ELMO1	1856392	1849503	9606.ENSP00000365012	9606.ENSP00000312185	0	0	0	0	0.052	0.149	0.900	0.525	0.956
OCLN	CLDN4	1853164	1852595	9606.ENSP00000347379	9606.ENSP00000342445	0	0	0	0	0.053	0	0.800	0.790	0.956
CXCL12	CCL20	1858332	1853751	9606.ENSP00000379140	9606.ENSP00000351671	0	0	0	0	0	0	0.900	0.576	0.955
C1QA	C1S	1856156	1851002	9606.ENSP00000363773	9606.ENSP00000328173	0	0	0	0	0.054	0.325	0.900	0.385	0.955
IGF1	SERPINE1	1848439	1842959	9606.ENSP00000302665	9606.ENSP00000223095	0	0	0	0	0.044	0	0.900	0.576	0.955
CXCR4	CCL20	1859216	1853751	9606.ENSP00000386884	9606.ENSP00000351671	0	0	0	0	0	0.094	0.900	0.531	0.953
ELMO1	RAC2	1849503	1843949	9606.ENSP00000312185	9606.ENSP00000249071	0	0	0	0	0.045	0.255	0.900	0.425	0.953
FN1	VWF	1853098	1844904	9606.ENSP00000346839	9606.ENSP00000261405	0	0	0	0	0	0	0.900	0.557	0.953
COL6A1	COL3A1	1854318	1848637	9606.ENSP00000355180	9606.ENSP00000304408	0	0	0	0.617	0.426	0	0.900	0.546	0.952
SELE	VCAM1	1851385	1847502	9606.ENSP00000331736	9606.ENSP00000294728	0	0	0	0	0.086	0	0	0.950	0.952
PIK3CB	PDGFRA	1847156	1844502	9606.ENSP00000289153	9606.ENSP00000257290	0	0	0	0	0.055	0.110	0.900	0.491	0.951
COL6A1	COL1A2	1854318	1847845	9606.ENSP00000355180	9606.ENSP00000297268	0	0	0	0.615	0.386	0	0.900	0.661	0.951
IGF1	VWF	1848439	1844904	9606.ENSP00000302665	9606.ENSP00000261405	0	0	0	0	0.115	0	0.900	0.480	0.950
PRKACB	ADCY4	1855328	1849496	9606.ENSP00000359719	9606.ENSP00000312126	0	0	0	0	0.238	0.293	0.900	0.192	0.950
PIK3R1	RAC2	1846375	1843949	9606.ENSP00000274335	9606.ENSP00000249071	0	0	0	0	0	0.071	0.900	0.506	0.950
FN1	VEGFC	1853098	1846658	9606.ENSP00000346839	9606.ENSP00000280193	0	0	0	0	0.091	0	0.900	0.494	0.950
CCL27	CCL21	1844710	1844708	9606.ENSP00000259631	9606.ENSP00000259607	0	0	0	0	0	0	0.900	0.529	0.950
PLAU	HGF	1855748	1842916	9606.ENSP00000361850	9606.ENSP00000222390	0	0	0	0.698	0.057	0.360	0.900	0.756	0.949
VEGFC	HGF	1846658	1842916	9606.ENSP00000280193	9606.ENSP00000222390	0	0	0	0	0	0	0.900	0.514	0.949
PRKACB	ADCY3	1855328	1844803	9606.ENSP00000359719	9606.ENSP00000260600	0	0	0	0	0.238	0.293	0.900	0.167	0.949
CFD	SERPINE1	1851434	1842959	9606.ENSP00000332139	9606.ENSP00000223095	0.074	0	0	0	0.044	0.170	0.900	0.419	0.949
IGF1	HBEGF	1848439	1843270	9606.ENSP00000302665	9606.ENSP00000230990	0	0	0	0	0	0	0.900	0.504	0.948
F10	VWF	1856330	1844904	9606.ENSP00000364709	9606.ENSP00000261405	0	0	0	0	0	0	0.900	0.504	0.948
PDGFD	PDGFRA	1858075	1844502	9606.ENSP00000376865	9606.ENSP00000257290	0	0	0	0	0.072	0	0.900	0.490	0.948
ANGPT2	KDR	1849738	1845437	9606.ENSP00000314897	9606.ENSP00000263923	0	0	0	0	0	0.145	0.800	0.722	0.948
IGF2	HGF	1859600	1842916	9606.ENSP00000391826	9606.ENSP00000222390	0	0	0	0	0.053	0	0.900	0.497	0.948
CCL5	CCL2	1847396	1843055	9606.ENSP00000293272	9606.ENSP00000225831	0	0	0	0	0.056	0.324	0	0.925	0.948
GNAI2	GNG11	1849590	1843916	9606.ENSP00000312999	9606.ENSP00000248564	0	0	0	0	0.101	0.389	0.900	0.167	0.948
COL4A1	COL3A1	1856385	1848637	9606.ENSP00000364979	9606.ENSP00000304408	0	0	0	0.641	0.376	0	0.900	0.516	0.946
PIK3CB	RRAS	1847156	1843834	9606.ENSP00000289153	9606.ENSP00000246792	0	0	0	0	0.050	0.615	0.800	0.353	0.946
SDC4	CCL5	1855743	1847396	9606.ENSP00000361818	9606.ENSP00000293272	0	0	0	0	0	0.360	0.900	0.212	0.945
HLA-A	ICAM1	1856558	1845628	9606.ENSP00000366005	9606.ENSP00000264832	0	0	0	0	0	0	0.900	0.481	0.945
C1S	C1QB	1851002	1849670	9606.ENSP00000328173	9606.ENSP00000313967	0	0	0	0	0.105	0	0.900	0.441	0.945
VAV3	RAC2	1855167	1843949	9606.ENSP00000359073	9606.ENSP00000249071	0	0	0	0	0.074	0.169	0.900	0.359	0.944
CCL19	CCL21	1849114	1844708	9606.ENSP00000308815	9606.ENSP00000259607	0	0	0	0.825	0.368	0	0.900	0.876	0.944
NFATC1	EGR1	1850967	1843543	9606.ENSP00000327850	9606.ENSP00000239938	0	0	0	0	0	0.285	0.900	0.284	0.944
PLAU	MAPK3	1855748	1845265	9606.ENSP00000361850	9606.ENSP00000263025	0	0	0	0	0	0.066	0.900	0.442	0.943
FN1	SERPINE1	1853098	1842959	9606.ENSP00000346839	9606.ENSP00000223095	0	0	0	0	0.124	0	0.900	0.407	0.943
IGF2	CDH1	1859600	1844988	9606.ENSP00000391826	9606.ENSP00000261769	0	0	0	0	0	0	0.900	0.444	0.942
HBEGF	MMP2	1843270	1842719	9606.ENSP00000230990	9606.ENSP00000219070	0	0	0	0	0.054	0	0.900	0.441	0.942
CFB	CFD	1861233	1851434	9606.ENSP00000416561	9606.ENSP00000332139	0	0	0	0	0.053	0	0.900	0.444	0.942
FN1	F13A1	1853098	1845635	9606.ENSP00000346839	9606.ENSP00000264870	0	0	0	0	0.053	0.360	0.900	0.157	0.942
CXCR4	CCL4	1859216	1843996	9606.ENSP00000386884	9606.ENSP00000250151	0	0	0	0	0.089	0.145	0.800	0.665	0.941
SDC4	PRKCD	1855743	1851365	9606.ENSP00000361818	9606.ENSP00000331602	0	0	0	0	0.044	0.389	0.900	0.110	0.941
COL4A1	COL16A1	1856385	1855964	9606.ENSP00000364979	9606.ENSP00000362776	0	0	0	0	0.055	0.360	0.900	0.149	0.941
IGF2	MMP2	1859600	1842719	9606.ENSP00000391826	9606.ENSP00000219070	0	0	0	0	0.051	0	0.900	0.432	0.941
PRKCD	PIK3CB	1851365	1847156	9606.ENSP00000331602	9606.ENSP00000289153	0	0	0	0	0.061	0.551	0.800	0.383	0.941
VWF	HGF	1844904	1842916	9606.ENSP00000261405	9606.ENSP00000222390	0	0	0	0	0	0	0.900	0.443	0.941
HCK	PIK3R1	1856392	1846375	9606.ENSP00000365012	9606.ENSP00000274335	0	0	0	0	0	0.371	0.900	0.130	0.940
CCL4	CCL3	1843996	1843010	9606.ENSP00000250151	9606.ENSP00000225245	0	0	0	0.962	0.906	0.360	0	0.970	0.940
COL16A1	COL1A1	1855964	1843064	9606.ENSP00000362776	9606.ENSP00000225964	0	0	0	0	0.330	0	0.900	0.188	0.940
HLA-A	HLA-C	1856558	1856460	9606.ENSP00000366005	9606.ENSP00000365402	0	0	0	0.983	0	0.417	0.900	0.958	0.940
COL4A1	COL1A1	1856385	1843064	9606.ENSP00000364979	9606.ENSP00000225964	0	0	0	0.638	0.315	0	0.900	0.451	0.939
PARD6B	RAC2	1855517	1843949	9606.ENSP00000360672	9606.ENSP00000249071	0	0	0	0	0.053	0.530	0.800	0.404	0.939
SSTR2	GNAI2	1853555	1849590	9606.ENSP00000350198	9606.ENSP00000312999	0	0	0	0	0	0.170	0.900	0.333	0.939
CXCR7	CCL27	1846285	1844710	9606.ENSP00000272928	9606.ENSP00000259631	0	0	0	0	0	0.066	0.900	0.392	0.938
CCL20	CCL27	1853751	1844710	9606.ENSP00000351671	9606.ENSP00000259631	0	0	0	0	0	0	0.900	0.411	0.938
VEGFC	VWF	1846658	1844904	9606.ENSP00000280193	9606.ENSP00000261405	0	0	0	0	0	0	0.900	0.412	0.938
CXCR4	CCL27	1859216	1844710	9606.ENSP00000386884	9606.ENSP00000259631	0	0	0	0	0	0.066	0.900	0.394	0.938
FYB	EVL	1861668	1858054	9606.ENSP00000425845	9606.ENSP00000376652	0	0	0	0	0.081	0.325	0.900	0.125	0.938
MAPK3	VWF	1845265	1844904	9606.ENSP00000263025	9606.ENSP00000261405	0	0	0	0	0	0	0.900	0.413	0.938
IGF1	VEGFC	1848439	1846658	9606.ENSP00000302665	9606.ENSP00000280193	0	0	0	0	0	0	0.900	0.410	0.938
CXCL12	ESR1	1858332	1842435	9606.ENSP00000379140	9606.ENSP00000206249	0	0	0	0	0	0	0.900	0.407	0.938
CCL5	CCL27	1847396	1844710	9606.ENSP00000293272	9606.ENSP00000259631	0	0	0	0	0	0	0.900	0.400	0.937
NFATC1	MAPK3	1850967	1845265	9606.ENSP00000327850	9606.ENSP00000263025	0	0	0	0	0	0	0.900	0.396	0.937
GNAI2	ADCY4	1849590	1849496	9606.ENSP00000312999	9606.ENSP00000312126	0	0	0	0	0.054	0.295	0.900	0.168	0.937
GNAI2	ADCY3	1849590	1844803	9606.ENSP00000312999	9606.ENSP00000260600	0	0	0	0	0.054	0.295	0.900	0.178	0.937
FN1	MAPK3	1853098	1845265	9606.ENSP00000346839	9606.ENSP00000263025	0	0	0	0	0	0	0.900	0.402	0.937
FXYD1	ATP1A1	1852684	1847591	9606.ENSP00000343314	9606.ENSP00000295598	0	0	0	0	0.043	0.285	0.900	0.197	0.937
CXCL12	CCL27	1858332	1844710	9606.ENSP00000379140	9606.ENSP00000259631	0	0	0	0	0	0	0.900	0.395	0.936
COL4A1	COL1A2	1856385	1847845	9606.ENSP00000364979	9606.ENSP00000297268	0	0	0	0.636	0.283	0	0.900	0.441	0.936
PIK3CB	MAPK3	1847156	1845265	9606.ENSP00000289153	9606.ENSP00000263025	0	0	0	0	0.054	0.170	0	0.925	0.936
GRK5	GNG2	1858049	1851723	9606.ENSP00000376609	9606.ENSP00000334448	0	0	0	0	0	0.364	0.900	0.085	0.936
GRK5	GNG11	1858049	1843916	9606.ENSP00000376609	9606.ENSP00000248564	0	0	0	0	0	0.364	0.900	0.085	0.936
F13A1	VWF	1845635	1844904	9606.ENSP00000264870	9606.ENSP00000261405	0	0	0	0	0.233	0	0.900	0.236	0.936
PIK3R1	KDR	1846375	1845437	9606.ENSP00000274335	9606.ENSP00000263923	0	0	0	0	0	0.292	0.900	0.174	0.936
KDR	HGF	1845437	1842916	9606.ENSP00000263923	9606.ENSP00000222390	0	0	0	0	0.055	0.111	0.800	0.667	0.936
CCL19	CCL27	1849114	1844710	9606.ENSP00000308815	9606.ENSP00000259631	0	0	0	0	0	0	0.900	0.377	0.935
EVL	PFN2	1858054	1843544	9606.ENSP00000376652	9606.ENSP00000239940	0	0	0	0	0.042	0.349	0.900	0.080	0.935
ARHGAP5	RAC2	1857532	1843949	9606.ENSP00000371897	9606.ENSP00000249071	0	0	0	0	0.042	0.113	0.900	0.332	0.935
COL4A2	COL3A1	1854011	1848637	9606.ENSP00000353654	9606.ENSP00000304408	0	0	0	0.612	0.279	0	0.900	0.398	0.935
IGF2	SERPINE1	1859600	1842959	9606.ENSP00000391826	9606.ENSP00000223095	0	0	0	0	0	0	0.900	0.380	0.935
IGF1	PIK3R1	1848439	1846375	9606.ENSP00000302665	9606.ENSP00000274335	0	0	0	0	0	0	0.900	0.368	0.934
VAV3	PIK3R1	1855167	1846375	9606.ENSP00000359073	9606.ENSP00000274335	0	0	0	0.613	0.048	0.344	0.900	0.125	0.934
VEGFC	SERPINE1	1846658	1842959	9606.ENSP00000280193	9606.ENSP00000223095	0	0	0	0	0.093	0	0.900	0.338	0.934
COL16A1	COL3A1	1855964	1848637	9606.ENSP00000362776	9606.ENSP00000304408	0	0	0	0	0.181	0	0.900	0.255	0.933
VAV3	PIK3CB	1855167	1847156	9606.ENSP00000359073	9606.ENSP00000289153	0	0	0	0	0.087	0	0.900	0.333	0.933
COL4A2	COL1A1	1854011	1843064	9606.ENSP00000353654	9606.ENSP00000225964	0	0	0	0.663	0.271	0	0.900	0.390	0.933
COL4A2	COL1A2	1854011	1847845	9606.ENSP00000353654	9606.ENSP00000297268	0	0	0	0.637	0.269	0	0.900	0.368	0.933
CFB	CFH	1861233	1854590	9606.ENSP00000416561	9606.ENSP00000356399	0	0	0	0.611	0.097	0	0.900	0.751	0.933
FN1	IGF1	1853098	1848439	9606.ENSP00000346839	9606.ENSP00000302665	0	0	0	0	0	0	0.900	0.365	0.933
GRK5	BDKRB2	1858049	1848988	9606.ENSP00000376609	9606.ENSP00000307713	0	0	0	0	0	0.325	0.900	0.092	0.933
CCL5	C3	1847396	1843781	9606.ENSP00000293272	9606.ENSP00000245907	0	0	0	0	0.054	0	0.900	0.342	0.932
ITPR2	PRKACB	1857367	1855328	9606.ENSP00000370744	9606.ENSP00000359719	0	0	0	0	0.123	0	0.900	0.278	0.931
HLA-C	ICAM1	1856460	1845628	9606.ENSP00000365402	9606.ENSP00000264832	0	0	0	0	0	0	0.900	0.344	0.931
PLAU	FN1	1855748	1853098	9606.ENSP00000361850	9606.ENSP00000346839	0	0	0	0	0	0	0.900	0.340	0.931
COL16A1	COL6A1	1855964	1854318	9606.ENSP00000362776	9606.ENSP00000355180	0	0	0	0	0.101	0	0.900	0.304	0.931
CXCR7	CCL21	1846285	1844708	9606.ENSP00000272928	9606.ENSP00000259607	0	0	0	0	0	0.064	0.900	0.315	0.930
SERPING1	VWF	1846563	1844904	9606.ENSP00000278407	9606.ENSP00000261405	0	0	0	0	0.182	0	0.900	0.215	0.930
FGFR1	SDC4	1859710	1855743	9606.ENSP00000393312	9606.ENSP00000361818	0	0	0	0	0	0.070	0.900	0.312	0.930
SDC4	MAPK3	1855743	1845265	9606.ENSP00000361818	9606.ENSP00000263025	0	0	0	0	0	0	0.900	0.337	0.930
ATP1B1	FXYD1	1854664	1852684	9606.ENSP00000356789	9606.ENSP00000343314	0	0	0	0	0	0.285	0.900	0.097	0.929
CCL5	CXCR7	1847396	1846285	9606.ENSP00000293272	9606.ENSP00000272928	0	0	0	0	0	0	0.900	0.323	0.929
FN1	ITGA9	1853098	1845614	9606.ENSP00000346839	9606.ENSP00000264741	0	0	0	0	0.045	0	0.900	0.311	0.928
IGF2	VEGFC	1859600	1846658	9606.ENSP00000391826	9606.ENSP00000280193	0	0	0	0	0	0	0.900	0.303	0.927
CFD	SERPING1	1851434	1846563	9606.ENSP00000332139	9606.ENSP00000278407	0.074	0	0	0	0.044	0.170	0.900	0.165	0.927
PIK3CB	MRAS	1847156	1847154	9606.ENSP00000289153	9606.ENSP00000289104	0	0	0	0	0	0.557	0.800	0.244	0.927
ICAM1	CCL2	1845628	1843055	9606.ENSP00000264832	9606.ENSP00000225831	0	0	0	0	0.133	0	0	0.919	0.927
IL7	HGF	1845425	1842916	9606.ENSP00000263851	9606.ENSP00000222390	0	0	0	0	0	0	0.900	0.304	0.927
HLA-E	ICAM1	1856531	1845628	9606.ENSP00000365817	9606.ENSP00000264832	0	0	0	0	0	0	0.900	0.304	0.927
FOXO1	MAPK3	1857055	1845265	9606.ENSP00000368880	9606.ENSP00000263025	0	0	0	0	0.054	0.053	0.800	0.640	0.927
CFD	IGF1	1851434	1848439	9606.ENSP00000332139	9606.ENSP00000302665	0	0	0	0	0.053	0	0.900	0.287	0.926
CCL20	CXCR7	1853751	1846285	9606.ENSP00000351671	9606.ENSP00000272928	0	0	0	0	0	0.094	0.900	0.250	0.926
SERPING1	F13A1	1846563	1845635	9606.ENSP00000278407	9606.ENSP00000264870	0	0	0	0	0.134	0	0.900	0.209	0.925
COL6A1	COL4A2	1854318	1854011	9606.ENSP00000355180	9606.ENSP00000353654	0	0	0	0.614	0.178	0	0.900	0.359	0.925
PIK3R1	CDH1	1846375	1844988	9606.ENSP00000274335	9606.ENSP00000261769	0	0	0	0	0	0.173	0.900	0.170	0.925
NPY1R	ADCY3	1854180	1844803	9606.ENSP00000354652	9606.ENSP00000260600	0	0	0	0	0.053	0	0.900	0.278	0.925
CD34	CSF3	1849250	1843025	9606.ENSP00000310036	9606.ENSP00000225474	0	0	0	0	0	0	0	0.925	0.925
LPAR1	PIK3CB	1853763	1847156	9606.ENSP00000351755	9606.ENSP00000289153	0	0	0	0	0.051	0.053	0.900	0.259	0.924
VCAM1	ITGA9	1847502	1845614	9606.ENSP00000294728	9606.ENSP00000264741	0	0	0	0	0	0	0.900	0.278	0.924
GNG2	GNG11	1851723	1843916	9606.ENSP00000334448	9606.ENSP00000248564	0	0	0	0	0	0	0.900	0.277	0.924
