Gene ID,Pathway Name,Level 2,Level 1,Other Gene ID
115361,ko04621//NOD-like receptor signaling pathway,Immune system,Organismal Systems,GBP4
115908,ko04611//Platelet activation;ko04974//Protein digestion and absorption;ko05146//Amoebiasis;ko04933//AGE-RAGE signaling pathway in diabetic complications;ko04926//Relaxin signaling pathway,Digestive system;Immune system;Endocrine and metabolic diseases;Endocrine system;Infectious diseases: Parasitic,Organismal Systems;Human Diseases,CTHRC1
1272,ko04514//Cell adhesion molecules (CAMs),Signaling molecules and interaction,Environmental Information Processing,CNTN1
1278,ko04151//PI3K-Akt signaling pathway;ko04974//Protein digestion and absorption;ko05146//Amoebiasis;ko04926//Relaxin signaling pathway;ko04611//Platelet activation;ko04510//Focal adhesion;ko04933//AGE-RAGE signaling pathway in diabetic complications;ko04512//ECM-receptor interaction;ko05165//Human papillomavirus infection,Cellular community - eukaryotes;Endocrine system;Signal transduction;Infectious diseases: Viral;Signaling molecules and interaction;Infectious diseases: Parasitic;Digestive system;Endocrine and metabolic diseases;Immune system,Organismal Systems;Environmental Information Processing;Human Diseases;Cellular Processes,COL1A2
1282,ko04933//AGE-RAGE signaling pathway in diabetic complications;ko04510//Focal adhesion;ko05222//Small cell lung cancer;ko05200//Pathways in cancer;ko05165//Human papillomavirus infection;ko05146//Amoebiasis;ko04512//ECM-receptor interaction;ko04151//PI3K-Akt signaling pathway;ko04974//Protein digestion and absorption;ko04926//Relaxin signaling pathway,Infectious diseases: Viral;Cancers: Overview;Signal transduction;Cellular community - eukaryotes;Signaling molecules and interaction;Cancers: Specific types;Endocrine and metabolic diseases;Digestive system;Endocrine system;Infectious diseases: Parasitic,Organismal Systems;Environmental Information Processing;Human Diseases;Cellular Processes,COL4A1
1284,ko04512//ECM-receptor interaction;ko04510//Focal adhesion;ko04151//PI3K-Akt signaling pathway;ko04974//Protein digestion and absorption;ko04933//AGE-RAGE signaling pathway in diabetic complications;ko05222//Small cell lung cancer;ko05200//Pathways in cancer;ko05146//Amoebiasis;ko05165//Human papillomavirus infection;ko04926//Relaxin signaling pathway,Infectious diseases: Parasitic;Cancers: Overview;Endocrine system;Digestive system;Cellular community - eukaryotes;Infectious diseases: Viral;Cancers: Specific types;Signaling molecules and interaction;Endocrine and metabolic diseases;Signal transduction,Cellular Processes;Environmental Information Processing;Human Diseases;Organismal Systems,COL4A2
1291,ko04974//Protein digestion and absorption;ko05146//Amoebiasis;ko04933//AGE-RAGE signaling pathway in diabetic complications;ko04611//Platelet activation;ko04926//Relaxin signaling pathway,Digestive system;Immune system;Endocrine and metabolic diseases;Infectious diseases: Parasitic;Endocrine system,Organismal Systems;Human Diseases,COL6A1
1307,ko04151//PI3K-Akt signaling pathway;ko04512//ECM-receptor interaction;ko04926//Relaxin signaling pathway;ko05146//Amoebiasis;ko04510//Focal adhesion;ko04974//Protein digestion and absorption;ko05222//Small cell lung cancer;ko04933//AGE-RAGE signaling pathway in diabetic complications;ko05200//Pathways in cancer;ko05165//Human papillomavirus infection,Infectious diseases: Parasitic;Endocrine and metabolic diseases;Infectious diseases: Viral;Signaling molecules and interaction;Cellular community - eukaryotes;Cancers: Specific types;Cancers: Overview;Digestive system;Endocrine system;Signal transduction,Cellular Processes;Human Diseases;Environmental Information Processing;Organismal Systems,COL16A1
1435,ko04380//Osteoclast differentiation;ko04014//Ras signaling pathway;ko05323//Rheumatoid arthritis;ko04010//MAPK signaling pathway;ko04640//Hematopoietic cell lineage;ko04060//Cytokine-cytokine receptor interaction;ko04015//Rap1 signaling pathway;ko04668//TNF signaling pathway;ko04151//PI3K-Akt signaling pathway,Signaling molecules and interaction;Immune diseases;Immune system;Development;Signal transduction,Human Diseases;Environmental Information Processing;Organismal Systems,CSF1
1440,ko04630//Jak-STAT signaling pathway;ko05144//Malaria;ko04640//Hematopoietic cell lineage;ko04060//Cytokine-cytokine receptor interaction;ko04657//IL-17 signaling pathway;ko04151//PI3K-Akt signaling pathway,Infectious diseases: Parasitic;Immune system;Signal transduction;Signaling molecules and interaction,Human Diseases;Environmental Information Processing;Organismal Systems,CSF3
146850,ko04261//Adrenergic signaling in cardiomyocytes;ko04062//Chemokine signaling pathway;ko04611//Platelet activation;ko04072//Phospholipase D signaling pathway;ko04137//Mitophagy - animal;ko04725//Cholinergic synapse;ko05145//Toxoplasmosis;ko04151//PI3K-Akt signaling pathway;ko04140//Autophagy - animal;ko04022//cGMP-PKG signaling pathway;ko05167//Kaposi sarcoma-associated herpesvirus infection;ko03010//Ribosome;ko04371//Apelin signaling pathway;ko04921//Oxytocin signaling pathway,Circulatory system;Endocrine system;Infectious diseases: Parasitic;Translation;Nervous system;Transport and catabolism;Signal transduction;Infectious diseases: Viral;Immune system,Organismal Systems;Genetic Information Processing;Environmental Information Processing;Human Diseases;Cellular Processes,PIK3R6
1513,ko05323//Rheumatoid arthritis;ko04210//Apoptosis;ko04380//Osteoclast differentiation;ko04620//Toll-like receptor signaling pathway;ko04142//Lysosome,Transport and catabolism;Immune system;Immune diseases;Cell growth and death;Development,Organismal Systems;Cellular Processes;Human Diseases,CTSK
1536,ko04066//HIF-1 signaling pathway;ko04621//NOD-like receptor signaling pathway;ko05140//Leishmaniasis;ko04145//Phagosome;ko04216//Ferroptosis;ko04217//Necroptosis;ko04933//AGE-RAGE signaling pathway in diabetic complications;ko04670//Leukocyte transendothelial migration,Signal transduction;Endocrine and metabolic diseases;Cell growth and death;Immune system;Infectious diseases: Parasitic;Transport and catabolism,Human Diseases;Organismal Systems;Environmental Information Processing;Cellular Processes,CYBB
1902,ko05200//Pathways in cancer;ko04080//Neuroactive ligand-receptor interaction;ko04072//Phospholipase D signaling pathway;ko04810//Regulation of actin cytoskeleton;ko04151//PI3K-Akt signaling pathway;ko04540//Gap junction;ko04015//Rap1 signaling pathway,Signal transduction;Cell motility;Cancers: Overview;Signaling molecules and interaction;Cellular community - eukaryotes,Human Diseases;Environmental Information Processing;Cellular Processes,LPAR1
1958,"ko04933//AGE-RAGE signaling pathway in diabetic complications;ko04928//Parathyroid hormone synthesis, secretion and action;ko05020//Prion diseases;ko05166//Human T-cell leukemia virus 1 infection;ko04371//Apelin signaling pathway;ko04912//GnRH signaling pathway",Signal transduction;Neurodegenerative diseases;Endocrine and metabolic diseases;Infectious diseases: Viral;Endocrine system,Human Diseases;Environmental Information Processing;Organismal Systems,EGR1
2113,ko04013//MAPK signaling pathway - fly;ko04320//Dorso-ventral axis formation;ko04218//Cellular senescence;ko04014//Ras signaling pathway;ko05200//Pathways in cancer;ko05211//Renal cell carcinoma;ko05166//Human T-cell leukemia virus 1 infection,Infectious diseases: Viral;Cancers: Overview;Cell growth and death;Development;Cancers: Specific types;Signal transduction,Human Diseases;Environmental Information Processing;Cellular Processes;Organismal Systems,ETS1
219972,ko04640//Hematopoietic cell lineage;ko04662//B cell receptor signaling pathway;ko04514//Cell adhesion molecules (CAMs),Signaling molecules and interaction;Immune system,Organismal Systems;Environmental Information Processing,MPEG1
221303,ko04621//NOD-like receptor signaling pathway,Immune system,Organismal Systems,FAM162B
2260,"ko04010//MAPK signaling pathway;ko04810//Regulation of actin cytoskeleton;ko05205//Proteoglycans in cancer;ko04014//Ras signaling pathway;ko04520//Adherens junction;ko05230//Central carbon metabolism in cancer;ko04714//Thermogenesis;ko05200//Pathways in cancer;ko05215//Prostate cancer;ko05218//Melanoma;ko04015//Rap1 signaling pathway;ko04550//Signaling pathways regulating pluripotency of stem cells;ko05224//Breast cancer;ko04928//Parathyroid hormone synthesis, secretion and action;ko04151//PI3K-Akt signaling pathway",Cancers: Specific types;Cell motility;Cancers: Overview;Environmental adaptation;Endocrine system;Signal transduction;Cellular community - eukaryotes,Cellular Processes;Organismal Systems;Environmental Information Processing;Human Diseases,FGFR1
23179,ko04014//Ras signaling pathway,Signal transduction,Environmental Information Processing,RGL1
2321,ko04014//Ras signaling pathway;ko04015//Rap1 signaling pathway;ko04010//MAPK signaling pathway;ko04510//Focal adhesion;ko04151//PI3K-Akt signaling pathway;ko04066//HIF-1 signaling pathway;ko05202//Transcriptional misregulation in cancer;ko05323//Rheumatoid arthritis,Signal transduction;Immune diseases;Cancers: Overview;Cellular community - eukaryotes,Environmental Information Processing;Human Diseases;Cellular Processes,FLT1
2323,ko04151//PI3K-Akt signaling pathway;ko04640//Hematopoietic cell lineage;ko04014//Ras signaling pathway;ko04010//MAPK signaling pathway;ko05200//Pathways in cancer,Signal transduction;Cancers: Overview;Immune system,Organismal Systems;Human Diseases;Environmental Information Processing,FLT3LG
2335,ko05146//Amoebiasis;ko04510//Focal adhesion;ko04151//PI3K-Akt signaling pathway;ko04512//ECM-receptor interaction;ko05100//Bacterial invasion of epithelial cells;ko05165//Human papillomavirus infection;ko04933//AGE-RAGE signaling pathway in diabetic complications;ko05205//Proteoglycans in cancer;ko05200//Pathways in cancer;ko05222//Small cell lung cancer;ko04810//Regulation of actin cytoskeleton,Signal transduction;Cell motility;Cancers: Specific types;Signaling molecules and interaction;Infectious diseases: Parasitic;Cancers: Overview;Cellular community - eukaryotes;Endocrine and metabolic diseases;Infectious diseases: Bacterial;Infectious diseases: Viral,Cellular Processes;Environmental Information Processing;Human Diseases,FN1
23643,ko05133//Pertussis;ko05130//Pathogenic Escherichia coli infection;ko04620//Toll-like receptor signaling pathway;ko05145//Toxoplasmosis;ko04064//NF-kappa B signaling pathway,Signal transduction;Infectious diseases: Bacterial;Immune system;Infectious diseases: Parasitic,Environmental Information Processing;Human Diseases;Organismal Systems,LY96
2533,ko04015//Rap1 signaling pathway,Signal transduction,Environmental Information Processing,FYB
260434,ko04621//NOD-like receptor signaling pathway,Immune system,Organismal Systems,PYDC1
2633,ko04621//NOD-like receptor signaling pathway,Immune system,Organismal Systems,GBP1
2771,"ko05032//Morphine addiction;ko04015//Rap1 signaling pathway;ko04926//Relaxin signaling pathway;ko04540//Gap junction;ko05200//Pathways in cancer;ko05012//Parkinson disease;ko05145//Toxoplasmosis;ko04934//Cushing syndrome;ko04022//cGMP-PKG signaling pathway;ko04726//Serotonergic synapse;ko04261//Adrenergic signaling in cardiomyocytes;ko05034//Alcoholism;ko04924//Renin secretion;ko05142//Chagas disease (American trypanosomiasis);ko04728//Dopaminergic synapse;ko04730//Long-term depression;ko04723//Retrograde endocannabinoid signaling;ko04971//Gastric acid secretion;ko05133//Pertussis;ko04921//Oxytocin signaling pathway;ko04914//Progesterone-mediated oocyte maturation;ko05170//Human immunodeficiency virus 1 infection;ko04713//Circadian entrainment;ko05163//Human cytomegalovirus infection;ko04670//Leukocyte transendothelial migration;ko04727//GABAergic synapse;ko04371//Apelin signaling pathway;ko04724//Glutamatergic synapse;ko04725//Cholinergic synapse;ko04024//cAMP signaling pathway;ko05030//Cocaine addiction;ko04928//Parathyroid hormone synthesis, secretion and action;ko04916//Melanogenesis;ko04611//Platelet activation;ko04360//Axon guidance;ko04915//Estrogen signaling pathway;ko04062//Chemokine signaling pathway;ko04071//Sphingolipid signaling pathway;ko04923//Regulation of lipolysis in adipocytes",Environmental adaptation;Cancers: Overview;Endocrine and metabolic diseases;Cellular community - eukaryotes;Endocrine system;Development;Digestive system;Infectious diseases: Viral;Substance dependence;Neurodegenerative diseases;Infectious diseases: Parasitic;Nervous system;Immune system;Signal transduction;Infectious diseases: Bacterial;Circulatory system,Organismal Systems;Environmental Information Processing;Human Diseases;Cellular Processes,GNAI2
2791,ko04727//GABAergic synapse;ko04713//Circadian entrainment;ko05167//Kaposi sarcoma-associated herpesvirus infection;ko04726//Serotonergic synapse;ko04728//Dopaminergic synapse;ko04062//Chemokine signaling pathway;ko04926//Relaxin signaling pathway;ko05034//Alcoholism;ko04014//Ras signaling pathway;ko05032//Morphine addiction;ko04151//PI3K-Akt signaling pathway;ko04723//Retrograde endocannabinoid signaling;ko04725//Cholinergic synapse;ko05163//Human cytomegalovirus infection;ko04371//Apelin signaling pathway;ko04724//Glutamatergic synapse;ko05200//Pathways in cancer;ko05170//Human immunodeficiency virus 1 infection,Signal transduction;Immune system;Environmental adaptation;Substance dependence;Cancers: Overview;Infectious diseases: Viral;Endocrine system;Nervous system,Environmental Information Processing;Human Diseases;Organismal Systems,GNG11
285,ko04014//Ras signaling pathway;ko05167//Kaposi sarcoma-associated herpesvirus infection;ko04015//Rap1 signaling pathway;ko04066//HIF-1 signaling pathway;ko04010//MAPK signaling pathway;ko04151//PI3K-Akt signaling pathway,Signal transduction;Infectious diseases: Viral,Human Diseases;Environmental Information Processing,ANGPT2
2869,ko05032//Morphine addiction;ko04341//Hedgehog signaling pathway - fly;ko04062//Chemokine signaling pathway;ko04144//Endocytosis,Substance dependence;Signal transduction;Immune system;Transport and catabolism,Cellular Processes;Human Diseases;Organismal Systems;Environmental Information Processing,GRK5
29108,ko04623//Cytosolic DNA-sensing pathway;ko04217//Necroptosis;ko04621//NOD-like receptor signaling pathway;ko05133//Pertussis;ko05134//Legionellosis;ko05132//Salmonella infection;ko05164//Influenza A;ko04625//C-type lectin receptor signaling pathway,Infectious diseases: Bacterial;Immune system;Infectious diseases: Viral;Cell growth and death,Cellular Processes;Human Diseases;Organismal Systems,PYCARD
3055,ko05167//Kaposi sarcoma-associated herpesvirus infection;ko04666//Fc gamma R-mediated phagocytosis;ko04062//Chemokine signaling pathway,Immune system;Infectious diseases: Viral,Human Diseases;Organismal Systems,HCK
3082,ko05144//Malaria;ko05200//Pathways in cancer;ko05218//Melanoma;ko05226//Gastric cancer;ko04151//PI3K-Akt signaling pathway;ko05205//Proteoglycans in cancer;ko04015//Rap1 signaling pathway;ko04010//MAPK signaling pathway;ko05211//Renal cell carcinoma;ko05225//Hepatocellular carcinoma;ko04014//Ras signaling pathway;ko04510//Focal adhesion;ko01521//EGFR tyrosine kinase inhibitor resistance,Drug resistance: Antineoplastic;Signal transduction;Cancers: Overview;Cellular community - eukaryotes;Infectious diseases: Parasitic;Cancers: Specific types,Human Diseases;Environmental Information Processing;Cellular Processes,HGF
3105,ko05320//Autoimmune thyroid disease;ko04612//Antigen processing and presentation;ko05332//Graft-versus-host disease;ko04514//Cell adhesion molecules (CAMs);ko05163//Human cytomegalovirus infection;ko04145//Phagosome;ko05170//Human immunodeficiency virus 1 infection;ko04144//Endocytosis;ko05203//Viral carcinogenesis;ko05169//Epstein-Barr virus infection;ko05168//Herpes simplex infection;ko05330//Allograft rejection;ko04218//Cellular senescence;ko04940//Type I diabetes mellitus;ko05416//Viral myocarditis;ko05167//Kaposi sarcoma-associated herpesvirus infection;ko05165//Human papillomavirus infection;ko05166//Human T-cell leukemia virus 1 infection,Infectious diseases: Viral;Cell growth and death;Cancers: Overview;Endocrine and metabolic diseases;Transport and catabolism;Cardiovascular diseases;Immune diseases;Signaling molecules and interaction;Immune system,Human Diseases;Environmental Information Processing;Cellular Processes;Organismal Systems,HLA-A
3108,ko05166//Human T-cell leukemia virus 1 infection;ko04514//Cell adhesion molecules (CAMs);ko05168//Herpes simplex infection;ko05323//Rheumatoid arthritis;ko04612//Antigen processing and presentation;ko04640//Hematopoietic cell lineage;ko04659//Th17 cell differentiation;ko05140//Leishmaniasis;ko05145//Toxoplasmosis;ko05150//Staphylococcus aureus infection;ko05330//Allograft rejection;ko05152//Tuberculosis;ko05416//Viral myocarditis;ko05169//Epstein-Barr virus infection;ko04940//Type I diabetes mellitus;ko05320//Autoimmune thyroid disease;ko05322//Systemic lupus erythematosus;ko05310//Asthma;ko04658//Th1 and Th2 cell differentiation;ko05332//Graft-versus-host disease;ko05321//Inflammatory bowel disease (IBD);ko05164//Influenza A;ko04145//Phagosome;ko04672//Intestinal immune network for IgA production,Transport and catabolism;Infectious diseases: Viral;Cardiovascular diseases;Infectious diseases: Parasitic;Immune system;Infectious diseases: Bacterial;Immune diseases;Signaling molecules and interaction;Endocrine and metabolic diseases,Cellular Processes;Organismal Systems;Environmental Information Processing;Human Diseases,HLA-DMA
3133,ko05170//Human immunodeficiency virus 1 infection;ko05416//Viral myocarditis;ko04514//Cell adhesion molecules (CAMs);ko05166//Human T-cell leukemia virus 1 infection;ko05167//Kaposi sarcoma-associated herpesvirus infection;ko04218//Cellular senescence;ko04145//Phagosome;ko05320//Autoimmune thyroid disease;ko05168//Herpes simplex infection;ko04940//Type I diabetes mellitus;ko05163//Human cytomegalovirus infection;ko05332//Graft-versus-host disease;ko04612//Antigen processing and presentation;ko05165//Human papillomavirus infection;ko05330//Allograft rejection;ko04144//Endocytosis;ko05203//Viral carcinogenesis;ko05169//Epstein-Barr virus infection,Immune system;Endocrine and metabolic diseases;Cardiovascular diseases;Infectious diseases: Viral;Cancers: Overview;Cell growth and death;Transport and catabolism;Signaling molecules and interaction;Immune diseases,Environmental Information Processing;Human Diseases;Cellular Processes;Organismal Systems,HLA-E
3134,ko05165//Human papillomavirus infection;ko04218//Cellular senescence;ko05167//Kaposi sarcoma-associated herpesvirus infection;ko05163//Human cytomegalovirus infection;ko04940//Type I diabetes mellitus;ko05330//Allograft rejection;ko05320//Autoimmune thyroid disease;ko05416//Viral myocarditis;ko04145//Phagosome;ko04514//Cell adhesion molecules (CAMs);ko05203//Viral carcinogenesis;ko04144//Endocytosis;ko05332//Graft-versus-host disease;ko04612//Antigen processing and presentation;ko05168//Herpes simplex infection;ko05170//Human immunodeficiency virus 1 infection;ko05169//Epstein-Barr virus infection;ko05166//Human T-cell leukemia virus 1 infection,Infectious diseases: Viral;Signaling molecules and interaction;Cell growth and death;Cardiovascular diseases;Cancers: Overview;Immune diseases;Immune system;Endocrine and metabolic diseases;Transport and catabolism,Environmental Information Processing;Human Diseases;Cellular Processes;Organismal Systems,HLA-F
3383,ko04064//NF-kappa B signaling pathway;ko05169//Epstein-Barr virus infection;ko05143//African trypanosomiasis;ko05418//Fluid shear stress and atherosclerosis;ko05166//Human T-cell leukemia virus 1 infection;ko04933//AGE-RAGE signaling pathway in diabetic complications;ko05323//Rheumatoid arthritis;ko05416//Viral myocarditis;ko04514//Cell adhesion molecules (CAMs);ko04670//Leukocyte transendothelial migration;ko05144//Malaria;ko04650//Natural killer cell mediated cytotoxicity;ko05167//Kaposi sarcoma-associated herpesvirus infection;ko05164//Influenza A;ko05150//Staphylococcus aureus infection;ko04668//TNF signaling pathway,Infectious diseases: Parasitic;Immune system;Signaling molecules and interaction;Endocrine and metabolic diseases;Signal transduction;Infectious diseases: Viral;Cardiovascular diseases;Immune diseases;Infectious diseases: Bacterial,Human Diseases;Organismal Systems;Environmental Information Processing,ICAM1
3384,ko04650//Natural killer cell mediated cytotoxicity;ko04514//Cell adhesion molecules (CAMs),Immune system;Signaling molecules and interaction,Environmental Information Processing;Organismal Systems,ICAM2
340061,ko04622//RIG-I-like receptor signaling pathway;ko05163//Human cytomegalovirus infection;ko04621//NOD-like receptor signaling pathway;ko04623//Cytosolic DNA-sensing pathway;ko05170//Human immunodeficiency virus 1 infection,Immune system;Infectious diseases: Viral,Organismal Systems;Human Diseases,TMEM173
3428,ko04621//NOD-like receptor signaling pathway,Immune system,Organismal Systems,IFI16
3479,ko04066//HIF-1 signaling pathway;ko04015//Rap1 signaling pathway;ko04114//Oocyte meiosis;ko04211//Longevity regulating pathway;ko04068//FoxO signaling pathway;ko05214//Glioma;ko05202//Transcriptional misregulation in cancer;ko05215//Prostate cancer;ko04960//Aldosterone-regulated sodium reabsorption;ko05200//Pathways in cancer;ko05205//Proteoglycans in cancer;ko04213//Longevity regulating pathway - multiple species;ko04510//Focal adhesion;ko04550//Signaling pathways regulating pluripotency of stem cells;ko04913//Ovarian steroidogenesis;ko04152//AMPK signaling pathway;ko05410//Hypertrophic cardiomyopathy (HCM);ko01522//Endocrine resistance;ko04750//Inflammatory mediator regulation of TRP channels;ko01521//EGFR tyrosine kinase inhibitor resistance;ko04115//p53 signaling pathway;ko05414//Dilated cardiomyopathy (DCM);ko04914//Progesterone-mediated oocyte maturation;ko04014//Ras signaling pathway;ko05224//Breast cancer;ko04730//Long-term depression;ko04010//MAPK signaling pathway;ko04150//mTOR signaling pathway;ko05218//Melanoma;ko04151//PI3K-Akt signaling pathway,Signal transduction;Cancers: Overview;Cell growth and death;Endocrine system;Excretory system;Nervous system;Sensory system;Cancers: Specific types;Cellular community - eukaryotes;Cardiovascular diseases;Aging;Drug resistance: Antineoplastic,Human Diseases;Environmental Information Processing;Organismal Systems;Cellular Processes,IGF1
348013,ko04611//Platelet activation;ko04974//Protein digestion and absorption;ko04933//AGE-RAGE signaling pathway in diabetic complications;ko05146//Amoebiasis;ko04926//Relaxin signaling pathway,Endocrine and metabolic diseases;Immune system;Infectious diseases: Parasitic;Digestive system;Endocrine system,Human Diseases;Organismal Systems,TMEM255B
3481,ko04151//PI3K-Akt signaling pathway;ko05205//Proteoglycans in cancer;ko04010//MAPK signaling pathway;ko05200//Pathways in cancer;ko04014//Ras signaling pathway;ko05225//Hepatocellular carcinoma,Signal transduction;Cancers: Overview;Cancers: Specific types,Human Diseases;Environmental Information Processing,IGF2
3557,ko04060//Cytokine-cytokine receptor interaction,Signaling molecules and interaction,Environmental Information Processing,IL1RN
3561,ko04144//Endocytosis;ko04151//PI3K-Akt signaling pathway;ko04659//Th17 cell differentiation;ko05166//Human T-cell leukemia virus 1 infection;ko05340//Primary immunodeficiency;ko04060//Cytokine-cytokine receptor interaction;ko05200//Pathways in cancer;ko05321//Inflammatory bowel disease (IBD);ko04658//Th1 and Th2 cell differentiation;ko04630//Jak-STAT signaling pathway;ko05162//Measles,Immune diseases;Immune system;Signal transduction;Signaling molecules and interaction;Infectious diseases: Viral;Transport and catabolism;Cancers: Overview,Organismal Systems;Human Diseases;Cellular Processes;Environmental Information Processing,IL2RG
3563,ko04630//Jak-STAT signaling pathway;ko04210//Apoptosis;ko04640//Hematopoietic cell lineage;ko04060//Cytokine-cytokine receptor interaction;ko05200//Pathways in cancer;ko04151//PI3K-Akt signaling pathway,Cell growth and death;Signal transduction;Signaling molecules and interaction;Cancers: Overview;Immune system,Environmental Information Processing;Human Diseases;Cellular Processes;Organismal Systems,IL3RA
3574,ko04151//PI3K-Akt signaling pathway;ko04630//Jak-STAT signaling pathway;ko05200//Pathways in cancer;ko04640//Hematopoietic cell lineage;ko04060//Cytokine-cytokine receptor interaction,Cancers: Overview;Signal transduction;Immune system;Signaling molecules and interaction,Environmental Information Processing;Human Diseases;Organismal Systems,IL7
