ï..Gene.ID	FK.FPKM	HN.FPKM	log2.HN.FK.	Qvalue.FK.vs.HN.	Pvalue.FK.vs.HN.	Other.Gene.ID	Transcripts	Gene.Type	Transcripts.Number	Start	End	Chr	Strand....	Length	Max.Length.of.Transcript	FK2.FPKM	FK4.FPKM	FK5.FPKM	FK6.FPKM	FK7.FPKM	HN1.FPKM	HN2.FPKM	HN3.FPKM	HN4.FPKM	HN5.FPKM
102724788	1.58	22.52	4.09023723224792	0	0	LOC102724788	BGI_novel_T024324,XM_006724935.3,XM_017030170.1,XM_017030167.1,XM_017030169.1,XM_006724936.3,XM_017030166.1,XM_017030168.1	Known_gene	8	138086	161619	chr22_KI270734v1_random	-	23534	2936	0.17	4.86	2.71	0	0.16	46.29	10.48	27.91	24.12	3.8
10298	2.39	9.5	2.16782877756257	2.2194639449066e-179	2.87667984595598e-179	PAK4	XM_011526317.2,XM_011526316.1,NM_001014832.1,XM_011526320.1,NM_001014835.1,XM_011526318.2,NM_005884.3,NM_001014831.2,XM_011526319.2,NM_001014834.2	Known_gene	10	39125780	39179406	chr19	+	53627	3064	1.94	3.08	3.35	2.11	1.47	20.3	2.19	6.91	15.59	2.51
10406	3.404	22.658	2.50087001932904	1.63357571763522e-82	3.39958323283237e-82	WFDC2	NM_006103.3	Known_gene	1	45469754	45481532	chr20	+	11779	566	0.77	3.47	4.39	6.9	1.49	26.73	10.73	11.72	51.77	12.34
10451	7.602	72.74	3.414021354943	0	0	VAV3	BGI_novel_T002229,XM_005270361.1,XM_005270360.2,NM_006113.4,XM_017000054.1,BGI_novel_T002230,XM_017000056.1,XM_017000053.1,BGI_novel_T002227,XM_017000055.1,BGI_novel_T002228,NM_001079874.1	Known_gene	12	107571160	107964923	chr1	-	393764	10281	3.21	25.61	1.87	5.29	2.03	56.88	81.63	71.51	71.91	81.77
10483	19.596	85.248	2.17114671557502	0	0	SEC23B	NM_001172746.1,NM_032985.4,XM_017027593.1,NM_006363.4,NM_001172745.1,BGI_novel_T022399,NM_032986.3	Known_gene	7	18507544	18561415	chr20	+	53872	3431	19.67	31.92	13.78	13.18	19.43	84.73	61.95	104.11	75.39	100.06
10525	2.844	14.242	2.25073260750969	0	0	HYOU1	NM_006389.4,BGI_novel_T007623,XM_017017096.1,XM_017017097.1,XM_005271392.3,XM_017017095.1,NM_001130991.2,BGI_novel_T007622,XM_005271393.3,XM_005271394.3	Known_gene	10	119044185	119057246	chr11	-	13062	4642	3.55	0.45	6.83	0.52	2.87	25.4	9.47	11.1	19.22	6.02
105376526	5.416	29.53	2.72186271305051	0	0	LOC105376526	XM_011520532.2	Known_gene	1	3473571	3478065	chr11	-	4495	3926	1.08	21.04	0.73	3.98	0.25	49.88	24.2	25.57	29.47	18.53
10647	53.834	22839.576	8.64911176842112	0	0	SCGB1D2	NM_006551.3,BGI_novel_T006709	Known_gene	2	62241619	62244808	chr11	+	3190	508	24.35	79.63	101.22	1.81	62.16	26782.69	7752.87	24266.44	14966.29	40429.59
10653	34.138	329.598	3.42184530560333	0	0	SPINT2	NM_001166103.1,NM_021102.3	Known_gene	2	38264458	38292614	chr19	+	28157	1802	6.79	107.27	17.08	31.84	7.71	374.61	269.28	291.62	341.75	370.73
10741	3.946	10.216	2.00032764158315	1.47021975063007e-198	1.79199230980895e-198	RBBP9	XM_005260652.2,NM_006606.2,BGI_novel_T022397,BGI_novel_T022396	Known_gene	4	18486540	18497250	chr20	-	10711	3861	4.82	5.04	3.71	3.54	2.62	13.17	13.9	7.74	15.26	1.01
10788	2.53	26.408	3.55230895639338	0	0	IQGAP2	BGI_novel_T028718,NM_001285461.1,XM_017008960.1,NM_001285460.1,NM_001285462.1,BGI_novel_T028719,NM_006633.3,BGI_novel_T028720,XM_011543108.1,BGI_novel_T028717,XM_005248414.1,BGI_novel_T028721,XM_005248410.2	Known_gene	13	76403255	76708132	chr5	+	304878	5931	4.9	0.42	1.8	2.83	2.7	15.25	27.61	28.11	18.42	42.65
10809	10.68	55.598	2.54248727777972	0	0	STARD10	BGI_novel_T007125,BGI_novel_T007126,BGI_novel_T007124,BGI_novel_T007127,NM_006645.2	Known_gene	5	72754729	72814239	chr11	-	59511	3236	4.52	31.46	6.95	9.78	0.69	42.75	60.27	59.47	67.4	48.1
11135	4.542	30.736	2.64331014875388	0	0	CDC42EP1	XM_006724109.1,XM_006724108.1,NM_152243.2,XM_006724107.1,XM_017028541.1	Known_gene	5	37559778	37569405	chr22	+	9628	2179	3.43	1.83	13.22	2.19	2.04	53.54	15.58	18.29	46.78	19.49
11153	1.61	7.21	2.39273499520553	9.85213200899939e-204	1.1811189597035e-203	FICD	BGI_novel_T009300,NM_007076.2	Known_gene	2	108515274	108522177	chr12	+	6904	5351	1.72	3.4	1.62	0.36	0.95	10.24	10.23	5.67	4.15	5.76
1116	8.492	41.148	2.38048488375326	0	0	CHI3L1	NM_001276.2	Known_gene	1	203178931	203186794	chr1	-	7864	1837	0.53	23.65	1.53	11.83	4.92	38.02	45.09	25.26	36.95	60.42
1117	3.244	52.502	3.74040931855937	0	0	CHI3L2	NM_001025199.1,NM_004000.2,NM_001025197.1	Known_gene	3	111227659	111243440	chr1	+	15782	1500	0.06	0.31	2.45	13.04	0.36	72.65	39.46	15.65	24.84	109.91
11240	1.604	84.71	5.84524027337053	0	0	PADI2	XM_017000148.1,NM_007365.2,BGI_novel_T000845	Known_gene	3	17066761	17119453	chr1	-	52693	4677	2.01	1.05	2.37	1.12	1.47	119.72	49.27	79.05	118.88	56.63
113178	2.344	12.194	2.24185254450868	2.39260533035926e-229	2.65575206271614e-229	SCAMP4	NM_079834.2	Known_gene	1	1905374	1926013	chr19	+	20640	2526	0.73	0.17	8.15	0.76	1.91	12.16	5.6	10.91	21.79	10.51
114569	11.98	48.022	2.2607642798613	0	0	MAL2	XM_011516807.2,NM_052886.2	Known_gene	2	119208371	119245673	chr8	+	37303	2818	1.08	46.78	0.74	10.99	0.31	60.65	45.74	51.57	28.21	53.94
114907	3.904	29.878	2.56799226044147	0	0	FBXO32	BGI_novel_T034614,BGI_novel_T034615,NM_001242463.1,NM_058229.3,NM_148177.2	Known_gene	5	123497887	123541253	chr8	-	43367	6793	2.96	6.14	2.27	1.39	6.76	22.49	32	17.31	32.19	45.4
116496	4.658	31.792	2.7276068861578	0	0	FAM129A	NM_052966.3,XM_011509141.2,XM_011509140.2	Known_gene	3	184791025	184975132	chr1	-	184108	7837	5.24	2.19	5.7	1.96	8.2	42.82	25.88	27.76	27.65	34.85
117159	188.372	77089.364	8.60102431701209	0	0	DCD	NM_053283.3,NM_001300854.1	Known_gene	2	54644591	54648493	chr12	-	3903	709	44.52	144.1	625.06	0.12	128.06	62856.96	55383.83	96635.07	106624.72	63946.24
117177	1.898	12.118	3.36518936043882	0	0	RAB3IP	NM_001278402.1,XM_017018773.1,XM_017018774.1,NM_022456.4,XM_006719226.3,XM_017018777.1,XM_017018776.1,NM_175625.3,BGI_novel_T008970,XM_017018775.1,XM_006719227.3,BGI_novel_T008968,NM_001024647.3,NM_175624.3,NM_175623.3,BGI_novel_T008969	Known_gene	16	69738007	69823204	chr12	+	85198	9887	1.34	4.93	1.06	1.25	0.91	15.37	11.11	7.27	10.96	15.88
118430	15.488	22535.382	10.5079747366225	0	0	MUCL1	NM_058173.2	Known_gene	1	54854515	54858393	chr12	+	3879	492	9.62	37.59	8.36	0.48	21.39	22249.96	24229.19	19559.2	35385.45	11253.11
118611	1.446	12.468	2.93835367458682	0	0	C10orf90	BGI_novel_T005827,XM_011539220.2,XM_017015634.1,BGI_novel_T005832,XM_005269492.2,BGI_novel_T005834,BGI_novel_T005822,BGI_novel_T005824,XM_005269491.1,XM_011539224.2,XM_011539217.2,XM_011539223.2,XM_017015635.1,BGI_novel_T005828,BGI_novel_T005833,BGI_novel_T005826,BGI_novel_T005829,XM_011539226.1,BGI_novel_T005823,XM_011539230.2,BGI_novel_T005825,BGI_novel_T005831,NM_001004298.2,BGI_novel_T005830,XM_011539227.2,XM_011539231.1,XM_011539222.2,XM_011539216.1,XM_011539232.1,XM_011539233.1	Known_gene	30	126424997	126671038	chr10	-	246042	5143	3.61	0	2	1.15	0.47	2.7	9.59	9.49	4.68	35.88
119559	3.92	27.924	2.67932671466584	0	0	SFXN4	XM_005269527.1,XM_005269525.4,XM_011539282.2,BGI_novel_T005711,NM_213649.1,XM_005269526.2	Known_gene	6	119140913	119165692	chr10	-	24780	2731	6.33	0	4.23	1.02	8.02	32.81	35.06	25.96	27.29	18.5
12	1.67	66.858	5.27955484985191	0	0	SERPINA3	NM_001085.4,BGI_novel_T011562	Known_gene	2	94612377	94624053	chr14	+	11677	1590	2.19	0	0.44	0.89	4.83	43.74	21.48	116.13	42.04	110.9
120224	8.922	37.564	2.38136132471549	0	0	TMEM45B	BGI_novel_T007792,NM_138788.3,XM_011542588.2,XM_011542586.2,XM_017017189.1,XM_017017188.1,XM_005271400.4,BGI_novel_T007794,BGI_novel_T007793	Known_gene	9	129815781	129860003	chr11	+	44223	2624	0.25	33.77	1.7	8.89	0	23.8	21.83	37.83	53.01	51.35
121506	1.808	50.864	4.59309638558809	0	0	ERP27	NM_001300784.1,NM_152321.3	Known_gene	2	14914027	14938549	chr12	-	24523	1571	4.17	0.36	1.41	2.16	0.94	79.23	28.15	48.85	30.77	67.32
123099	7.544	37.786	2.341342117918	0	0	DEGS2	BGI_novel_T011627,BGI_novel_T011628,NM_206918.2,BGI_novel_T011630,BGI_novel_T011629,XM_006720043.3	Known_gene	6	100143717	100167110	chr14	-	23394	2020	0.49	14.61	8.51	9.93	4.18	42.24	34.34	39.65	36.14	36.56
124220	3.006	735.996	7.79164326545483	0	0	ZG16B	NM_145252.2	Known_gene	1	2830172	2832284	chr16	+	2113	828	0	1.95	9.85	2.55	0.68	213.09	130.34	623.18	1499.72	1213.65
124540	1.158	5.552	2.03085872109524	1.43402786133035e-197	1.75706371697774e-197	MSI2	XM_017024147.1,XM_017024149.1,XM_011524286.1,XM_017024148.1,NM_138962.3,XM_005257015.3,XM_011524287.2,BGI_novel_T015984,XM_005257014.3,NM_001322251.1,NM_001322250.1,NM_170721.1,BGI_novel_T015985	Known_gene	13	57255851	57684689	chr17	+	428839	12892	1.91	0.36	1.03	0.95	1.54	7.19	4.39	4.6	4.8	6.78
124975	2.332	28.628	4.02900022133322	0	0	GGT6	NM_001288702.1,NM_001288703.1,NM_153338.3,NM_001122890.2,NM_001288704.1	Known_gene	5	4556927	4560596	chr17	-	3670	2663	0.16	7.47	1.52	2.42	0.09	37.88	25.15	24.75	38.01	17.35
126969	1.92	16.622	3.11951303500102	0	0	SLC44A3	NM_001258340.1,NM_001114106.2,BGI_novel_T002142,XM_005270442.1,XM_005270441.2,XM_005270440.2,XM_011540636.2,XM_011540633.2,BGI_novel_T002145,XM_011540632.2,NM_001301079.1,BGI_novel_T002143,XM_011540635.2,NM_001258341.1,NM_152369.4,XM_017000264.1,XM_017000265.1,XM_017000266.1,XM_017000263.1,XM_017000262.1,NM_001258342.1,BGI_novel_T002144,BGI_novel_T002146,NM_001258343.1	Known_gene	24	94820342	94895247	chr1	+	74906	2752	2.73	0.19	1.95	2.59	2.14	18.35	22.16	14.59	24.21	3.8
128218	1.148	24.68	4.57401644513488	0	0	TMEM125	XM_005270467.3,NM_001320244.1,NM_144626.2,XM_011540705.2	Known_gene	4	43269921	43274002	chr1	+	4082	2026	0	3.1	1.54	0	1.1	27.21	11.51	29.11	26.95	28.62
135932	1.29	33.86	4.94927404242837	0	0	TMEM139	NM_153345.3,NM_001242774.2,NM_001242773.2,BGI_novel_T033369,NM_001282877.1,NM_001242775.2,NM_001282876.1,BGI_novel_T033368	Known_gene	8	143284899	143288049	chr7	+	3151	2384	0.17	4.13	0.89	0.74	0.52	49.15	39.75	25.26	26.33	28.81
1364	20.858	804.128	5.3149307469225	0	0	CLDN4	NM_001305.4	Known_gene	1	73830863	73832693	chr7	+	1831	1831	6.97	46.43	26.88	19.99	4.02	1029.82	474.5	1201	815.73	499.59
1366	1.442	91.538	6.1470429390899	0	0	CLDN7	NM_001185023.1,NM_001307.5,NM_001185022.1	Known_gene	3	7259903	7263193	chr17	-	3291	2009	0.06	3.56	1.33	2.14	0.12	129.69	53.7	74.02	154.24	46.04
143458	3.574	17.056	2.1332787153365	0	0	LDLRAD3	NM_001304263.1,NM_174902.3,NM_001304264.1,BGI_novel_T006398	Known_gene	4	35943981	36232136	chr11	+	288156	3968	2.37	0.12	8.18	2.57	4.63	25.14	6.03	18.77	21.4	13.94
143662	5.96	60.606	3.68613440684806	0	0	MUC15	NM_001135092.1,BGI_novel_T006330,NM_001135091.1,XM_017017235.1,XM_017017236.1,NM_145650.3	Known_gene	6	26559032	26572268	chr11	-	13237	3392	1.09	25.27	0.32	3.12	0	43.01	49.28	64.84	50.47	95.43
144348	1.514	7.588	2.31560786650853	1.48476478226775e-260	1.49829418991257e-260	ZNF664	NM_001204298.1,BGI_novel_T009683,NM_152437.2,BGI_novel_T009682	Known_gene	4	123973215	124015439	chr12	+	42225	4476	2.85	0.96	1.29	0.79	1.68	9.81	5.96	6.46	10.54	5.17
145282	2.436	9.368	2.15976776388909	0	0	MIPOL1	NM_001195296.1,XM_017021010.1,XM_017021001.1,XM_017021004.1,XM_017021000.1,XM_017021017.1,XM_017020994.1,NM_138731.6,XM_017021009.1,XM_017020997.1,XM_017021015.1,XM_017021011.1,XM_017021006.1,XM_017021016.1,XM_017021014.1,XM_017021013.1,BGI_novel_T010929,BGI_novel_T010927,XM_017020991.1,XM_017020996.1,XM_017020993.1,XM_017021008.1,XM_017021018.1,XM_017020999.1,XM_017021007.1,BGI_novel_T010928,XM_017021019.1,XM_017021002.1,XM_017020995.1,XM_017021003.1,XM_017021005.1,XM_017020998.1,XM_011536463.2,NM_001195297.1,XM_017020992.1,XM_011536467.2,XM_017021012.1	Known_gene	37	37197888	37582222	chr14	+	384335	7650	4.78	0.1	1.63	1.39	4.28	9.4	8.94	11.45	9.68	7.37
145788	1.734	7.456	2.07524808072547	9.27565600755016e-35	2.98330123070257e-34	C15orf65	NM_001198784.1	Known_gene	1	55408525	55418712	chr15	+	10188	752	1.5	3.64	1.36	1.92	0.25	5.97	10.91	5.89	7.96	6.55
146439	1.158	14.996	3.70752996788456	0	0	BICDL2	NM_001103175.1,XM_005255135.4,BGI_novel_T013349,XM_011522391.1	Known_gene	4	3027710	3036985	chr16	-	9276	2217	0.08	2.42	1.65	1.51	0.13	22.45	9.66	16.18	22.7	3.99
146857	1.368	7.584	2.5426628674663	0	0	SLFN13	BGI_novel_T015411,BGI_novel_T015414,NM_144682.5,XM_017024232.1,BGI_novel_T015412,XM_011524383.2,XM_017024233.1,BGI_novel_T015413,XM_005257922.2	Known_gene	9	35435095	35448837	chr17	-	13743	8469	2.73	0.12	1.59	0.8	1.6	5.78	5.66	8.04	5.51	12.93
1474	18.988	105.252	2.51092409781841	0	0	CST6	NM_001323.3	Known_gene	1	66011991	66013505	chr11	+	1515	609	1.54	71.88	2.35	17.83	1.34	54.18	35.64	60.34	373.47	2.63
147645	1.73	14.232	3.262591169852	0	0	VSIG10L	NM_001163922.1	Known_gene	1	51331541	51342124	chr19	-	10584	3674	0.43	6.05	1.24	0.75	0.18	4.14	5.5	19.64	12.66	29.22
148327	4.316	118.844	4.55298649255406	0	0	CREB3L4	NM_001255980.1,NM_001255978.1,XM_017000372.1,NM_001255981.1,NM_130898.3,XM_006711172.2,NM_001255979.1	Known_gene	7	153967679	153974364	chr1	+	6686	1837	3.92	0.07	9.11	4.17	4.31	152.96	110.24	120.45	101.37	109.2
148808	2.712	31.198	3.434482873974	0	0	MFSD4A	BGI_novel_T003689,NM_181644.4,XM_011509229.2	Known_gene	3	205519587	205603997	chr1	+	84411	5877	3.84	0.11	4.37	0.29	4.95	36.67	24.37	22.57	43.72	28.66
149466	1.95	12.052	2.77468766361619	2.92541276170222e-160	4.08324736924483e-160	C1orf210	NM_001164829.1,XM_011540802.1,NM_182517.2	Known_gene	3	43281865	43285840	chr1	-	3976	1555	0.91	5.65	0	3	0.19	17.65	15.37	6.95	9.3	10.99
150696	1.552	8.88	2.85436729418929	0	0	PROM2	BGI_novel_T020340,XM_006712301.2,BGI_novel_T020339,BGI_novel_T020337,NM_001165977.2,BGI_novel_T020338,NM_001321070.1,XM_011510672.2,NM_144707.3,NM_001165978.2	Known_gene	10	95274448	95291320	chr2	+	16873	5059	0.39	6.3	0.42	0.65	0	10.34	1.58	4.95	17.69	9.84
151354	9.09	44.808	2.32911163953874	0	0	FAM84A	BGI_novel_T019501,BGI_novel_T019500,NM_145175.2	Known_gene	3	14632686	14650819	chr2	+	18134	6355	6.59	10.2	15.86	4.83	7.97	85.9	43.23	38.6	37.94	18.37
152519	2.27	11.338	2.59249899490999	0	0	NIPAL1	BGI_novel_T027063,XM_017007784.1,NM_207330.2,BGI_novel_T027062	Known_gene	4	48016772	48040173	chr4	+	23402	5302	0.22	8.15	0.95	1.63	0.4	8.53	16	21.5	6.41	4.25
153328	1.318	6.782	2.53542934606236	1.53611384778694e-86	3.10083719168266e-86	SLC25A48	XM_017009089.1,XM_006714546.1,NM_145282.4,XM_006714550.1,XM_006714552.2,XM_017009087.1,XM_017009088.1,XM_006714544.1,XM_011543199.1,XM_005271903.1,BGI_novel_T029196,XM_017009092.1,XM_017009090.1,XM_017009086.1,XM_017009091.1,BGI_novel_T029200,XM_011543196.1,BGI_novel_T029199,BGI_novel_T029197,BGI_novel_T029195,BGI_novel_T029198	Known_gene	21	135559577	135888637	chr5	+	329061	2861	0.69	4.56	0.65	0	0.69	0.99	10.56	0.82	9.07	12.47
153562	1.702	8.442	2.35800298081519	4.24897021267523e-265	4.25027014594026e-265	MARVELD2	XM_005248445.4,NM_001244734.1,NM_001038603.2,XM_005248446.4,XM_005248447.4	Known_gene	5	69415112	69444022	chr5	+	28911	4413	1.3	4.13	0.55	0.84	1.69	11.88	5.67	7.01	7.96	9.69
153769	4.046	14.004	2.52019426666883	0	0	SH3RF2	XM_005268380.2,BGI_novel_T029377,BGI_novel_T029376,XM_017009136.1,XM_011537567.2,NM_152550.3,XM_011537569.2,XM_006714757.1,XM_011537568.2,BGI_novel_T029374,BGI_novel_T029375	Known_gene	11	145936563	146081777	chr5	+	145215	9434	1.01	15.87	0.92	1.73	0.7	15.16	9.25	18.46	17.98	9.17
155066	3.77	34.15	3.05808609090984	0	0	ATP6V0E2	BGI_novel_T033426,BGI_novel_T033424,NM_001289990.1,BGI_novel_T033425,NM_145230.3,NM_001100592.2	Known_gene	6	149872968	149880713	chr7	+	7746	2742	3.53	0.36	10.03	2.08	2.85	38.29	29.6	27.22	49.63	26.01
157638	5.494	22.374	2.18367932246097	0	0	FAM84B	NM_174911.4,XM_017013107.1,BGI_novel_T034650,BGI_novel_T034651,XM_017013108.1	Known_gene	5	126552438	126558499	chr8	-	6062	5481	3.5	1.81	9.58	2.63	9.95	28.48	19.04	25.26	20.89	18.2
159195	4.66	16.838	2.03797622652124	0	0	USP54	XM_017015771.1,BGI_novel_T005023,XM_017015778.1,BGI_novel_T005017,XM_017015770.1,XM_011539368.2,XM_017015763.1,XM_017015783.1,XM_017015776.1,XM_017015773.1,BGI_novel_T005021,BGI_novel_T005018,NM_001320441.1,XM_017015765.1,XM_017015762.1,XM_017015768.1,BGI_novel_T005024,BGI_novel_T005022,XM_017015781.1,XM_005269582.2,XM_017015760.1,XM_017015772.1,XM_017015774.1,XM_017015786.1,XM_017015780.1,NM_152586.3,XM_017015777.1,XM_017015767.1,XM_017015766.1,XM_017015759.1,BGI_novel_T005019,XM_017015779.1,XM_017015785.1,XM_017015761.1,XM_017015764.1,XM_017015769.1,XM_017015775.1,XM_017015784.1,XM_017015782.1,NM_001320437.1,BGI_novel_T005020	Known_gene	41	73497533	73626393	chr10	-	128861	9478	9.63	1.55	3.32	2.32	6.48	18.87	9.71	24.57	24.94	6.1
160760	1.466	6.436	2.0658859001277	4.41749335652924e-152	6.38690179695966e-152	PPTC7	NM_139283.1,BGI_novel_T009368,BGI_novel_T009367	Known_gene	3	110534211	110584274	chr12	-	50064	3821	2.22	0.03	1.62	1.9	1.56	10.55	4.79	6.18	5.88	4.78
162979	1.42	9.712	2.86584016218314	4.36138466087221e-146	6.46988257832441e-146	ZNF296	NM_145288.1	Known_gene	1	45071500	45076430	chr19	-	4931	1586	1.21	3.37	1.77	0.48	0.27	10.77	3.67	10.46	20.25	3.41
165679	24.266	164.884	3.06863452841559	0	0	SPTSSB	XM_017005793.1,BGI_novel_T026126,NM_001040100.1,XM_017005794.1,NM_001320679.1	Known_gene	5	161344784	161373123	chr3	-	28340	3493	4.39	99.45	3.07	13.83	0.59	158.04	166.71	195.01	122.84	181.82
1672	1.8	13.056	2.49301450560167	1.90824775808275e-38	5.83495972579694e-38	DEFB1	NM_005218.3	Known_gene	1	6870575	6878007	chr8	-	7433	463	0	2.25	1.37	5.38	0	12.3	9.88	14.12	20.37	8.61
171177	4.896	48.442	3.55971402459851	0	0	RHOV	NM_133639.3	Known_gene	1	40872214	40874289	chr15	-	2076	1705	0	20.27	0.75	2.81	0.65	56	25.18	35.02	39.76	86.25
171546	14.54	115.922	2.98812185303337	0	0	SPTSSA	NM_138288.3	Known_gene	1	34432938	34462262	chr14	-	29325	2534	23.03	10.28	12.76	4.28	22.35	55.1	81.6	137.7	102.34	202.87
1717	3.95	50.09	3.58785588617899	0	0	DHCR7	BGI_novel_T007079,XM_011544777.1,NM_001360.2,NM_001163817.1	Known_gene	4	71434411	71448431	chr11	-	14021	2776	1.6	2.8	4.97	6.46	3.92	64.07	34.23	38.26	86.74	27.15
1718	9.682	64.94	2.96988939995066	0	0	DHCR24	BGI_novel_T001772,NM_014762.3	Known_gene	2	54849627	54887248	chr1	-	37622	4286	2.69	19.82	11.97	8.71	5.22	96.23	63.79	56.2	77.77	30.71
178	2.21	10.914	2.32585236760821	0	0	AGL	NM_000644.2,NM_000645.2,XM_017000501.1,NM_000643.2,NM_000028.2,NM_000642.2,NM_000646.2,XM_005270557.2	Known_gene	8	99850077	99924023	chr1	+	73947	7449	3.74	1.17	1.5	1.92	2.72	9.51	16.13	9.65	7.16	12.12
1780	2.346	11.86	2.27197045919951	8.08595024470535e-261	8.15315735248527e-261	DYNC1I1	NM_004411.4,XM_017011805.1,NM_001278421.1,XM_011515862.1,BGI_novel_T032834,XM_011515861.1,XM_017011806.1,NM_001135557.1,XM_017011807.1,NM_001135556.1,XM_011515863.2,NM_001278422.1,XM_017011804.1	Known_gene	13	95772506	96110322	chr7	+	337817	3635	3.2	0	4.4	0.61	3.52	3.01	7.52	13.53	10.64	24.6
1824	7.146	49.05	3.0459332758122	0	0	DSC2	NM_024422.4,NM_004949.4,XM_005258206.4	Known_gene	3	31065974	31102432	chr18	-	36459	5254	1.46	23.71	2.62	5.34	2.6	48.88	54.85	54.61	48.86	38.05
1825	9.396	27.43	2.02316689290187	0	0	DSC3	NM_024423.3,NM_001941.4,BGI_novel_T016996	Known_gene	3	30989365	31042815	chr18	-	53451	7699	1.58	40.31	0.74	3.36	0.99	24.07	31.63	42.72	16.62	22.11
1829	1.662	61.71	5.16369975319564	0	0	DSG2	NM_001943.4	Known_gene	1	31498004	31549008	chr18	+	51005	5870	0.98	0.34	1.71	1.18	4.1	55.79	46.89	65.74	46.8	93.33
1836	1.414	82.642	5.84946963735165	0	0	SLC26A2	XM_017009191.1,NM_000112.3	Known_gene	2	149960729	149987400	chr5	+	26672	8075	2.01	0.58	1.79	0.11	2.58	53.05	72.26	87.33	64.27	136.3
